Hotel Name,Location,Tarrif,Ratings,Number of reviews,Website
Hilton Garden Inn Greensboro Airport,Greensboro,$134,4.7/5,(264 reviews),https://www.expedia.com/Greensboro-Hotels-Hilton-Garden-Inn-Greensboro-Airport.h13432378.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730180&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&trackingData=AAAAEC5T0RtGA-u78oYCB29f268GnZeUOwprzmqkI2pjgINAAthzJhgmmmDwDPVkR6SLalWtr8UEf3NezUk8c8BdTF-y524NH23jZjZUebnmW94NCZmII9Vmt-Q_xFf-tofEFF58U5S87-YC84CjFxdg-DS_mNw3Ugn-oSy2U1GvQYKrFWvt2I3hMneoazrNhma5cc0_d0uNTAGS2HokjYpKIeUf1XbOGVup7wy-ogVw17TIpJMKsIXI7-kg3WWAHDFF6Po5rrcjb94F8T4kfNwblpgleh06HmtJ9vzAcIMTP9VDuqQiLBsG0XMrA1ITQQJj1pH7WyOk6HXSTiB0zhKALpvPUwIncyiPip19ewSwaWXXC6FwtEAwXytLh9DdEi8l3lolTeGfFNLgbAQMYH3xbqZk_HhFD1fGam2fsza0L_Su8vRbeseUq2weldMNCxoppf9tYm2L_X_5TixC1eAICiMwlLdEsa19EKDqYVDnVsweIshcVvOcx8eBl31bPTXfslA5tOxs62Tix-uyONgQjn0SRg5D_ysYe0It7-3NicAbwU3p1MexOlzzUnHtnkuqZCbAW1LiKxWD1V16zgiLfqIPkzkcMgbeYYbsSYUTS0QvxRjm7Vp_CqzRIzQje5L33VUFt83T2JJQKpAuO_6Nsa9mUHBxo5UqZU_vkIRyzX53j3UALDvdl3hYnQ01GvONd3ogJ87ykN9Xz7HlyiO7hLoK-ONinqVfc-zo8Dio_1AXPFz3TRyOCQZ-eRAVeIQxPPFgyNWQ4RvbsN9pbykrK0hgW2GM3Ybv1jbarUrL8tKYUScy_nuacx5NFocVGaT_MIlpMAvZd-1GKbTkfvw7Vuq2ysstPGBFU8EfyRU-fx8-ibwjh-WqwPT6zhz3WiJX9DkdtTH_Ftab7e40NUoGgJSepKX-3K_cO3ind6qi-slJSfZhThWWHWRO6SWfvDptoUQmlovvhedbmUzkK2hJ9DEmeMX3Bp8kX6_R-7h5mwxr3adrn30tkmKlA7PWMnFAVK8YEK2rzj1_3EAPc1suQtv-yxW0PbwYzcQwi81s9hTB&rank=7&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C33739.99567.0%2C37898.109354.0%2C37186.109912.1%2C37930.113882.0%2C37949.107324.0%2C39046.114579.1%2C37354.113955.1&slots=HSR_BB&position=50&beaconIssued=2020-12-14T21%3A02%3A09&sort=RECOMMENDED&top_dp=134&top_cur=USD&semdtl=&selectedRoomType=201432645&selectedRatePlan=294109426
Holiday Inn Express Burlington,Burlington,$98,4.2/5,(488 reviews),https://www.expedia.com/Greensboro-Hotels-Holiday-Inn-Express-Burlington.h12991.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730182&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=98&top_cur=USD&semdtl=&selectedRoomType=200681901&selectedRatePlan=380885530
Seven Oaks Inn Bed and Breakfast,High Point,$160,4.8/5,(47 reviews),https://www.expedia.com/Greensboro-Hotels-Seven-Oaks-Bed-And-Breakfast.h8355371.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730184&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=160&top_cur=USD&semdtl=&selectedRoomType=202366958&selectedRatePlan=212146372
Sleep Inn Kernersville I-40,Kernersville,$63,4.3/5,(386 reviews),https://www.expedia.com/Winston-Salem-Hotels-Sleep-Inn.h34715.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730186&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=63&top_cur=USD&semdtl=&selectedRoomType=200137721&selectedRatePlan=206023389
Holiday Inn Express Hotel & Suites Greensboro Airport Area,Greensboro,$106,4.4/5,(429 reviews),https://www.expedia.com/Greensboro-Hotels-Holiday-Inn-Express-Hotel-Suites-Greensboro-Airport-Area.h2463253.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730188&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=106&top_cur=USD&semdtl=&selectedRoomType=385847&selectedRatePlan=380867630
Fairfield Inn & Suites by Marriott Greensboro Wendover,Greensboro,$95,4.4/5,(316 reviews),https://www.expedia.com/Greensboro-Hotels-Fairfield-Inn-Suites-By-Marriott-Greensboro-Wendover.h1618602.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730190&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=95&top_cur=USD&semdtl=&selectedRoomType=278069&selectedRatePlan=232281631
Quality Inn & Suites Coliseum,Greensboro,$59,3.4/5,(574 reviews),https://www.expedia.com/Greensboro-Hotels-Quality-Inn-Suites-Coliseum.h2602.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730192&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=59&top_cur=USD&semdtl=&selectedRoomType=384091&selectedRatePlan=206009447
Red Roof Inn Greensboro Coliseum,Greensboro,$70,3.4/5,"(1,002 reviews)",https://www.expedia.com/Greensboro-Hotels-Red-Roof-Inn-Greensboro-Coliseum.h10791.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730193&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=70&top_cur=USD&semdtl=&selectedRoomType=200197546&selectedRatePlan=201131927
Drury Inn & Suites Greensboro,Greensboro,$110,4.4/5,(934 reviews),https://www.expedia.com/Greensboro-Hotels-Drury-Inn-Suites-Greensboro.h217323.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730195&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&trackingData=AAAAEGxKbwn1Sr08iFob6HuTKA86hP7EQJHcVhPr-gkHXwn8nAdSpHJtOYlS3dDzMf4QtZKBTLoF0I-YQ_OBgaiiVXViVmAbADuklv4JJqJwDwr81xdtOcv0eCAFclb0orw--19iq6pxQ52eB_5wVJueJehaGKRs_VfON0KR4Up1XH21czgRHKPd6wiLO4_aL18Ntv8mrrZRKRPDbfrOGyQ-zbM6xtqaH0eCPyXv3qta_eH6HYgUne6WYff3OytErnR6s2pIYsV5G26tVqYzfoiBKXiBPBoJHD9Tkv4qOabFfJtQrqo9JXmvdNww3nCQMxYyXbxGahMFrAGYIK4ovqtztFrtf9JtjH0wis6DF5wugPR9fS1DKPHyftfdrL29bDtTXbc8ykfXMQ-BuY95h5WjXKydL9GKF-66v0hNAi67aasIjL9uEqMBUlyecXrpxxXsQCBNDvvGkPqFV9N32nHYdurkZoX4yK6u1LycYesESAvj1gJhTVOaUDljxnl7bYS0Q-wS83yQUgGWeWMGEzGZLr4j_cQ3U-AfrP97OhsbwEbunJcTPlEpknQanhQQKO6mbJCVpoBy2IAT26SdWgY47mP7CpOtSGOUvvuhZtFKtXDhwHToax7XvN4wzWe1V0ZQi5waptUJNVhDQpDTv4nwdNOO9EtNsq2bGTUE9PJ0YbD329M5iJ6hJMFa1bNLhIU-GX8PEcQTWjz1WbYftHCOcfUYHlYJuYu7Y7_hiv1xxJ2KEATDYjpGRQOz5LFOLJ2lehwdlnjQDSqWwNREJDPG3WS54empk-dtXfH1dtBzHgjyQtbjEeifAYUxANS-S3ZmttIhVmEJPpWtiG7psL-Px8hTFz_7MeGpcVrJrIUQBgJmFE6f5x6cYinkbAH3qpeERZe0qDuu7_MOY_V0-dKnM-DlUXAIjGltj42YtcnJv16FV1mvABAWLEhIvRn24wqnOV5GkAtRKGumowo_TCQyPNcQph25Y1HTYxrWqw8uUnSlyWOD5oQd8EwbBHbkLCVhD4S_YAOG6gJ9tqWl0JataJtXcSOlBRDnwjU0pX67cVzZ&rank=8&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C33739.99567.0%2C37898.109354.0%2C37186.109912.1%2C37930.113882.0%2C37949.107324.0%2C39046.114579.1%2C37354.113955.1&slots=HSR_CA&position=58&beaconIssued=2020-12-14T21%3A02%3A09&sort=RECOMMENDED&top_dp=110&top_cur=USD&semdtl=&selectedRoomType=211211828&selectedRatePlan=228221220
Marriott Greensboro Downtown,Downtown Greensboro,$229,4.1/5,(546 reviews),https://www.expedia.com/Greensboro-Hotels-Greensboro-Marriott-Downtown.h28374.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730198&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&neighborhoodId=6347865&trackingData=AAAAEKohIzAkUF5YZMu6wZOlQpRvlzil_ohK-huxIlgS4Hj-RRi4DJtMnfGQbjY1bHHWngwRXFFLU_ArEp4cbu5hVAyj3DDdApvg2ZwRHFiY6rrk3ZcRJr_Cp5y1D1fau8VZnGnae41isE-6-QAbYkxvSYiUK9I0_DV3T7W95TftGirUblAS2RRXx2JUR_cuNWSG7beZ3MlXWjXnFN4BZrQFTgVOSVWEyYdNexZf5QX4jr7lMs9Ovxm2ntgsJjovACe5bh15H8xcUKEmdoavM67_UlPMacRNN5pSg99XihNlrBIjwz1-u3zK2WbziJRLH8CdSNPixKwIUEttV5UaDmUqONg5yv1BCH03ItwYmIjlNDMbDb1pBasEEKp9w0HTtR-DY8FCC3-YUHoAgTvk_4cGKVL7FyNqYytYY-Xn7w8hNcADgDZ8uvt03TqQSgpsbYEIg56i_YbN_I4UmTsPUBioW8-Lil4Bid6mAm_Pz5cPp5xGdf2EG4o-2nFqJ-OucyVIX5Bc44aGrY7j01r5kFYq5HmyBBCEHs3iVEXIklhd3h6autK4aEtHaphnouJiAKasxD9w69bNVXIy7lXDSapyQuO9Md27Q4wnkRKJCTQiK7Fvp6mTv32mh_MIWYQT4x25CyY2LO6d5DbNWAYCb3h3mHYQrq2_xvah56TJpiMswgbpQrJFxxI5FUYD6FE6KajVoBXlRrzg1hyak268DhCnESEE2HBabBzPqvaurlVDTHJoL-mTMpFekAlFiimgpMp_edN2uu1C1yLZB5m6XsoLVZuvVI6h9CCxZ4Yu1WGFOpceefnrN_x7jYtOCVSdRITS8QSgrtNbnX7zQLVQ84HRnbNMwnUloy9J_TglhchHzLDbRc24OeIOzSZoGhndGeieHLwk_e7Zh8ZBgzXdg7PmUrKb-yT4lJ71LMRwXmFdzDCVyaPzTl-sJ5fj6Pdz9TmPSLVu_3UnALWtnYVzMhyXClO00_aBnxFDeus0LHjSvm_YPnnHaZFX86Zdbg_gkqSF0jHvWipBEhANWuwjJ35JJ7DaYiOnL-gVW43ZGA32BK13&rank=9&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C33739.99567.0%2C37898.109354.0%2C37186.109912.1%2C37930.113882.0%2C37949.107324.0%2C39046.114579.1%2C37354.113955.1&slots=HSR_CB&position=59&beaconIssued=2020-12-14T21%3A02%3A09&sort=RECOMMENDED&top_dp=229&top_cur=USD&semdtl=&selectedRoomType=56722&selectedRatePlan=131074
Ramada by Wyndham Greensboro,Greensboro,$64,2.6/5,"(1,000 reviews)",https://www.expedia.com/Greensboro-Hotels-Ramada-By-Wyndham-Greensboro.h12320.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730200&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=64&top_cur=USD&semdtl=&selectedRoomType=201517897&selectedRatePlan=207618016
Quality Inn High Point - Archdale,Archdale,$71,3.7/5,(202 reviews),https://www.expedia.com/Greensboro-Hotels-Quality-Inn-Near-High-Point-University.h117322.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730202&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=71&top_cur=USD&semdtl=&selectedRoomType=212112893&selectedRatePlan=234279315
Marriott Greensboro Downtown,Downtown Greensboro,$229,4.1/5,(546 reviews),https://www.expedia.com/Greensboro-Hotels-Greensboro-Marriott-Downtown.h28374.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730205&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&neighborhoodId=6347865&sort=RECOMMENDED&top_dp=229&top_cur=USD&semdtl=&selectedRoomType=56722&selectedRatePlan=131074
Holiday Inn Greensboro Airport,Greensboro,$94,3.7/5,(439 reviews),https://www.expedia.com/Greensboro-Hotels-Holiday-Inn-Greensboro-Airport.h6513.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730207&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=94&top_cur=USD&semdtl=&selectedRoomType=200355235&selectedRatePlan=380526708
The Groome Inn,Greensboro,$122,4.7/5,(34 reviews),https://www.expedia.com/Greensboro-Hotels-The-Groome-Inn.h30386985.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730208&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=122&top_cur=USD&semdtl=&selectedRoomType=221428375&selectedRatePlan=296102796
Hilton Garden Inn Greensboro,Greensboro,$109,4.3/5,(484 reviews),https://www.expedia.com/Greensboro-Hotels-Hilton-Garden-Inn-Greensboro.h1562748.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730211&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=109&top_cur=USD&semdtl=&selectedRoomType=200261452&selectedRatePlan=232072300
Courtyard Greensboro Airport,Greensboro,$93,4.4/5,(455 reviews),https://www.expedia.com/Greensboro-Hotels-Courtyard-Greensboro-Airport.h2406294.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730214&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=93&top_cur=USD&semdtl=&selectedRoomType=357503&selectedRatePlan=228273338
Holiday Inn Express Hotel & Suites Greensboro - East,Greensboro,$114,4.1/5,(567 reviews),https://www.expedia.com/Greensboro-Hotels-Holiday-Inn-Express-Hotel-Suites-Greensboro-East.h1738470.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730216&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=114&top_cur=USD&semdtl=&selectedRoomType=200409245&selectedRatePlan=380699254
Comfort Inn Thomasville I-85,Thomasville,$67,3.8/5,(206 reviews),https://www.expedia.com/Greensboro-Hotels-Comfort-Inn.h14364.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730219&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=67&top_cur=USD&semdtl=&selectedRoomType=201556777&selectedRatePlan=207843973
"Studio 6 Greensboro, NC",Greensboro,$64,3.4/5,(158 reviews),https://www.expedia.com/Greensboro-Hotels-Studio-6-Greensboro-NC.h16273.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730221&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=64&top_cur=USD&semdtl=&selectedRoomType=213309188&selectedRatePlan=242203960
Fairfield Inn by Marriott Greensboro Airport,Greensboro,$80,4.4/5,(330 reviews),https://www.expedia.com/Greensboro-Hotels-Fairfield-Inn-By-Marriott-Greensboro-Airport.h914905.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730223&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=80&top_cur=USD&semdtl=&selectedRoomType=248211&selectedRatePlan=228260742
Embassy Suites Greensboro Airport,Greensboro,$118,4.1/5,(560 reviews),https://www.expedia.com/Greensboro-Hotels-Embassy-Suites-Greensboro-Airport.h16453.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730226&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=118&top_cur=USD&semdtl=&selectedRoomType=200261381&selectedRatePlan=228254276
Residence Inn by Marriott Greensboro Airport,Greensboro,$107,4.3/5,(169 reviews),https://www.expedia.com/Greensboro-Hotels-Residence-Inn-By-Marriott-Greensboro-Airport.h1705860.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730229&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=107&top_cur=USD&semdtl=&selectedRoomType=249984&selectedRatePlan=226207528
Marriott Greensboro Airport,Greensboro,$164,4.4/5,(707 reviews),https://www.expedia.com/Greensboro-Hotels-Marriott-Greensboro-Airport.h8640.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730231&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=164&top_cur=USD&semdtl=&selectedRoomType=212400012&selectedRatePlan=236000179
SpringHill Suites by Marriott Greensboro,Greensboro,$135,4.4/5,(427 reviews),https://www.expedia.com/Greensboro-Hotels-SpringHill-Suites-By-Marriott-Greensboro.h1046263.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730234&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=135&top_cur=USD&semdtl=&selectedRoomType=201279118&selectedRatePlan=380095968
Holiday Inn Express Hotel & Suites High Point South,Archdale,$114,4.4/5,(351 reviews),https://www.expedia.com/Greensboro-Hotels-Holiday-Inn-Express-Hotel-Suites-High-Point-South.h1077176.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730236&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=114&top_cur=USD&semdtl=&selectedRoomType=201484907&selectedRatePlan=380450650
Hampton Inn Greensboro East / McLeansville,McLeansville,$89,4.3/5,(375 reviews),https://www.expedia.com/Greensboro-Hotels-Hampton-Inn-Greensboro-East-McLeansville.h558102.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730239&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=89&top_cur=USD&semdtl=&selectedRoomType=241752&selectedRatePlan=278113786
Howard Johnson by Wyndham Greensboro Near the Coliseum,Greensboro,$60,3.4/5,(894 reviews),https://www.expedia.com/Greensboro-Hotels-Howard-Johnson-By-Wyndham-Greensboro-Near-The-Coliseum.h26885.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730241&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=60&top_cur=USD&semdtl=&selectedRoomType=201447247&selectedRatePlan=207202445
Hilton Garden Inn Greensboro Airport,Greensboro,$134,4.7/5,(264 reviews),https://www.expedia.com/Greensboro-Hotels-Hilton-Garden-Inn-Greensboro-Airport.h13432378.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730243&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=134&top_cur=USD&semdtl=&selectedRoomType=201432645&selectedRatePlan=294109426
Extended Stay America - Greensboro - Wendover Ave.,Greensboro,$81,3.0/5,(377 reviews),https://www.expedia.com/Greensboro-Hotels-Extended-Stay-America-Greensboro-Wendover-Ave.h41226.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730245&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=81&top_cur=USD&semdtl=&selectedRoomType=213895&selectedRatePlan=202465970
Courtyard by Marriott Greensboro,Greensboro,$103,4.3/5,(403 reviews),https://www.expedia.com/Greensboro-Hotels-Courtyard-By-Marriott-Greensboro.h5191.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730247&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=103&top_cur=USD&semdtl=&selectedRoomType=200234607&selectedRatePlan=224245885
